,Year,State,County,Commodity,Data Item,Irrig_status,Value
196,2002,KANSAS,RAWLINS,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,80.0
197,2002,KANSAS,RAWLINS,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,21.0
198,2002,KANSAS,SHERIDAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,149.0
199,2002,KANSAS,SHERIDAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,32.0
200,2002,KANSAS,SHERMAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,119.0
201,2002,KANSAS,SHERMAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,36.0
202,2002,KANSAS,THOMAS,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,133.0
203,2002,KANSAS,THOMAS,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,36.0
204,2002,KANSAS,GOVE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,137.0
205,2002,KANSAS,GOVE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,38.0
206,2002,KANSAS,LOGAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,98.0
207,2002,KANSAS,LOGAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,35.0
208,2002,KANSAS,WALLACE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,114.0
209,2002,KANSAS,WALLACE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,24.0
210,2001,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,161.0
211,2001,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,46.0
212,2001,KANSAS,DECATUR,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,155.0
213,2001,KANSAS,DECATUR,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,60.0
214,2001,KANSAS,GRAHAM,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,175.0
215,2001,KANSAS,GRAHAM,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,73.0
216,2001,KANSAS,RAWLINS,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,158.0
217,2001,KANSAS,RAWLINS,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,51.0
218,2001,KANSAS,SHERIDAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,196.0
219,2001,KANSAS,SHERIDAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,81.0
220,2001,KANSAS,SHERMAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,167.0
221,2001,KANSAS,SHERMAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,43.0
222,2001,KANSAS,THOMAS,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,197.0
223,2001,KANSAS,THOMAS,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,54.0
224,2001,KANSAS,GOVE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,159.0
225,2001,KANSAS,GOVE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,88.0
226,2001,KANSAS,LOGAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,168.0
227,2001,KANSAS,LOGAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,54.0
228,2001,KANSAS,WALLACE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,158.0
229,2001,KANSAS,WALLACE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,40.0
230,2000,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,162.0
231,2000,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,43.0
232,2000,KANSAS,DECATUR,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,154.0
233,2000,KANSAS,DECATUR,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,42.0
234,2000,KANSAS,GRAHAM,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,146.0
235,2000,KANSAS,GRAHAM,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,62.0
236,2000,KANSAS,RAWLINS,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,145.0
237,2000,KANSAS,RAWLINS,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,31.0
238,2000,KANSAS,SHERIDAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,171.0
239,2000,KANSAS,SHERIDAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,49.0
240,2000,KANSAS,SHERMAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,169.0
241,2000,KANSAS,SHERMAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,51.0
242,2000,KANSAS,THOMAS,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,169.0
243,2000,KANSAS,THOMAS,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,49.0
244,2000,KANSAS,GOVE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,134.0
245,2000,KANSAS,GOVE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,57.0
246,2000,KANSAS,LOGAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,148.0
247,2000,KANSAS,LOGAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,37.0
248,2000,KANSAS,WALLACE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,161.0
249,2000,KANSAS,WALLACE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,36.0
